ribose,cysteine,ribose-cysteine-Schiff-base,water,ribose-cysteine-Amadori,ribose-deoxyosone-3,furfural,pyruvaldehyde,glycolaldehyde,leucine,ribose-leucine-Schiff-base,ribose-leucine-Amadori,dehydroalanine,H2S,ammonia,acetaldehyde,CO2,2-methylthiazole,H2,2-furfurylthiol,furfural-thiohemiacetal,elemental-sulfur,CC(C)CC(N=CCO)C(=O)O,O=C(O)C(CS)N=CCO,CC=NC(CC(C)C)C(=O)O,CC=NC(CS)C(=O)O,ribose_X,cysteine_X,ribose-cysteine-Schiff-base_X,water_X,ribose-cysteine-Amadori_X,ribose-deoxyosone-3_X,furfural_X,pyruvaldehyde_X,glycolaldehyde_X,leucine_X,ribose-leucine-Schiff-base_X,ribose-leucine-Amadori_X,dehydroalanine_X,H2S_X,ammonia_X,acetaldehyde_X,CO2_X,2-methylthiazole_X,H2_X,2-furfurylthiol_X,furfural-thiohemiacetal_X,elemental-sulfur_X,CC(C)CC(N=CCO)C(=O)O_X,O=C(O)C(CS)N=CCO_X,CC=NC(CC(C)C)C(=O)O_X,CC=NC(CS)C(=O)O_X,time,temperature
0.015648882401939436,0.007824441200969718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007824441200969718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.24999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.15
0.012519105921551555,1.0676988259378908e-31,2.61226360024217e-26,3.444400608879583e-21,2.4848182580694338e-33,1.2091171192076682e-36,4.0210685669143384e-38,3.7081897667023134e-38,3.708189766702313e-38,0.006259552960775777,3.444374158607859e-21,3.2763323714279704e-28,0.006259552960775774,0.00625955296077577,1.846830290109836e-49,1.8468302901098355e-49,1.8468302901098378e-49,4.4819802600465886e-147,1.7603634745438526e-65,8.634458870709268e-55,2.7512746766880745e-60,8.634458870885305e-55,3.2709173227072147e-56,-9.590586514830788e-70,5.081108337592139e-68,1.0858385243828915e-73,0.4000000000000002,3.411421974151861e-30,8.346486136027263e-25,1.1005260696612761e-19,7.93928343969624e-32,3.8632698749714445e-35,1.2847781917052395e-36,1.1848097747359713e-36,1.1848097747359711e-36,0.2000000000000001,1.1005176184917147e-19,1.04682631234481e-26,0.19999999999999998,0.19999999999999987,5.900837653048469e-48,5.900837653048467e-48,5.900837653048475e-48,1.4320448403047353e-145,5.6245661170208646e-64,2.758810069925237e-53,8.790642699018228e-59,2.7588100699814823e-53,1.0450961412751863e-54,-3.0643039766348374e-68,1.6234732318527789e-66,3.46938042121244e-72,36.36363636363637,423.15
0.012519105921551555,6.919704845237916e-32,2.6122635968161555e-26,6.888769870592952e-21,2.4848182548105654e-33,2.4182235580879576e-36,1.022892660530276e-37,9.4330152124807e-38,9.4330152124807e-38,0.006259552960775777,6.888743092688518e-21,6.55265977351214e-28,0.006259552960775774,0.00625955296077577,1.8468302901097717e-49,1.8468302901097705e-49,1.8468302901097732e-49,1.1758469643498748e-146,4.634355553436488e-65,2.2652492119199244e-54,6.998783102190736e-60,2.2652492119662672e-54,8.581247532087198e-56,-2.519266172091303e-69,1.0162274295221903e-67,1.0858385243828915e-73,0.4000000000000002,2.2109262078614402e-30,8.346486125080745e-25,2.2010421235382266e-19,7.939283429283777e-32,7.726505625054273e-35,3.268261062539215e-36,3.0139581122136955e-36,3.0139581122136955e-36,0.2000000000000001,2.201033567686203e-19,2.093651036926458e-26,0.19999999999999998,0.19999999999999987,5.900837653048264e-48,5.90083765304826e-48,5.900837653048269e-48,3.756967859264336e-145,1.4807305194082523e-63,7.237734790694005e-53,2.2361926310224385e-58,7.237734790842076e-53,2.741808428128927e-54,-8.04934853296322e-68,3.24696487397798e-66,3.46938042121244e-72,72.72727272727273,423.15
0.012519105921551555,3.1624214310969265e-32,2.6122635933901416e-26,1.0333139132306321e-20,2.4848182515516966e-33,3.627329996968247e-36,1.6436784643691184e-37,1.5157840658259092e-37,1.515784065825909e-37,0.006259552960775777,1.033311202676918e-20,9.828987175596312e-28,0.006259552960775774,0.00625955296077577,1.8468302901097067e-49,1.8468302901097063e-49,1.8468302901097086e-49,1.903495902695091e-146,7.508347632329126e-65,3.667052536768922e-54,1.12462915276934e-59,3.6670525368440043e-54,1.3891577741467184e-55,-4.079473692699529e-69,1.5243440252851667e-67,1.0858385243828915e-73,0.4000000000000002,1.0104304415710203e-30,8.346486114134234e-25,3.301558177415177e-19,7.939283418871311e-32,1.1589741375137102e-34,5.251743933373191e-36,4.843106449691421e-36,4.8431064496914204e-36,0.2000000000000001,3.301549516880692e-19,3.140475761508106e-26,0.19999999999999998,0.19999999999999987,5.900837653048057e-48,5.900837653048055e-48,5.900837653048062e-48,6.081890878223938e-145,2.399004427114419e-63,1.1716659511462772e-52,3.5933209921430544e-58,1.171665951170267e-52,4.438520714982669e-54,-1.3034393089291607e-67,4.870456516103182e-66,3.46938042121244e-72,109.0909090909091,423.15
0.012519105921551555,4.430301986049358e-33,2.6122635899641266e-26,1.377750839401968e-20,2.4848182482928286e-33,4.8364364358485346e-36,3.800852074698573e-37,3.5051082898858844e-37,3.50510828988588e-37,0.006259552960775777,1.377748096084984e-20,1.3105314577680477e-27,0.006259552960775774,0.00625955296077577,1.8468302901096604e-49,1.8468302901096596e-49,1.846830290109662e-49,2.2440358289144706e-145,7.4923259290495425e-62,4.323096915001581e-53,2.600599290695549e-59,4.323096922493862e-53,1.6376813906776116e-54,-4.830796004334068e-68,2.032460621048143e-67,1.0858385243828915e-73,0.4000000000000002,1.4155330304930565e-31,8.346486103187718e-25,4.402074231292125e-19,7.939283408458849e-32,1.5452977125219923e-34,1.2144164602539016e-35,1.1199228800682535e-35,1.1199228800682521e-35,0.2000000000000001,4.402065466075179e-19,4.187300486089753e-26,0.19999999999999998,0.19999999999999987,5.900837653047908e-48,5.900837653047907e-48,5.900837653047914e-48,7.169955563843835e-144,2.3938853065062924e-60,1.3812797629771313e-51,8.30921730989954e-58,1.381279765371002e-51,5.232582585177605e-53,-1.5434955290274807e-66,6.493948158228383e-66,3.46938042121244e-72,145.45454545454547,423.15
0.012519105921551555,4.429499327241431e-33,2.612263586538112e-26,1.7221877655733044e-20,2.48481824503396e-33,6.04554287472882e-36,9.983411254962444e-37,9.206603378212614e-37,9.206603378212574e-37,0.006259552960775777,1.7221849894930494e-20,1.6381641979764648e-27,0.006259552960775774,0.00625955296077577,1.8468302901096604e-49,1.8468302901096593e-49,1.846830290109662e-49,9.487799834962038e-145,3.458007685343588e-61,1.827808525226657e-52,6.830797862722977e-59,1.8278085286846658e-52,6.924128852100206e-54,-2.0432871210369246e-67,2.5405772168111155e-67,1.0858385243828915e-73,0.4000000000000002,1.4152765716650995e-31,8.346486092241202e-25,5.502590285169073e-19,7.939283398046385e-32,1.931621287530274e-34,3.189816051568371e-35,2.941616896894694e-35,2.9416168968946813e-35,0.2000000000000001,5.5025814152696655e-19,5.234125210671401e-26,0.19999999999999998,0.19999999999999987,5.900837653047908e-48,5.900837653047905e-48,5.900837653047914e-48,3.031462436507981e-143,1.1048736889079764e-59,5.840060901090702e-51,2.1825193925274834e-57,5.840060912139443e-51,2.212339729526649e-52,-6.528540085340826e-66,8.117439800353571e-66,3.46938042121244e-72,181.81818181818184,423.15
0.012519105921551555,4.4286966684335026e-33,2.6122635831120977e-26,2.0666246917446423e-20,2.484818241775092e-33,7.254649313609115e-36,1.6165970435226346e-36,1.4908098466539345e-36,1.4908098466539315e-36,0.006259552960775777,2.066621882901117e-20,1.9657969381848826e-27,0.006259552960775774,0.00625955296077577,1.84683029010966e-49,1.846830290109659e-49,1.8468302901096615e-49,1.6731563841009605e-144,6.1667827777822115e-61,3.2233073589531612e-52,1.1060996434750406e-58,3.2233073651199457e-52,1.22105763135228e-53,-3.60349464164045e-67,3.048693812574091e-67,1.0858385243828915e-73,0.4000000000000002,1.4150201128371424e-31,8.346486081294688e-25,6.6031063390460275e-19,7.939283387633923e-32,2.3179448625385586e-34,5.165215642882851e-35,4.763310913721135e-35,4.7633109137211256e-35,0.2000000000000001,6.603097364464159e-19,6.280949935253052e-26,0.19999999999999998,0.19999999999999987,5.900837653047907e-48,5.900837653047904e-48,5.900837653047913e-48,5.345929316631579e-143,1.9703588471653204e-59,1.0298842039204289e-50,3.534117054065013e-57,1.0298842058907883e-50,3.901421200535537e-52,-1.1513584641654194e-65,9.740931442478771e-66,3.46938042121244e-72,218.1818181818182,423.15
0.012519105921551555,4.4278940096255745e-33,2.612263579686084e-26,2.4110616179159783e-20,2.4848182385162237e-33,8.4637557524894e-36,2.234852961549025e-36,2.0609593554866034e-36,2.060959355486601e-36,0.006259552960775777,2.4110587763091825e-20,2.2934296783932982e-27,0.006259552960775774,0.00625955296077577,1.84683029010966e-49,1.846830290109659e-49,1.8468302901096615e-49,2.3975327847057147e-144,8.875557870220835e-61,4.618806192679666e-52,1.5291195006777834e-58,4.61880620155522e-52,1.7497023774945393e-53,-5.163702162243967e-67,3.556810408337065e-67,1.0858385243828915e-73,0.4000000000000002,1.4147636540091854e-31,8.346486070348175e-25,7.703622392922975e-19,7.939283377221459e-32,2.70426843754684e-34,7.140615234197331e-35,6.585004930547563e-35,6.585004930547555e-35,0.2000000000000001,7.703613313658646e-19,7.327774659834696e-26,0.19999999999999998,0.19999999999999987,5.900837653047907e-48,5.900837653047904e-48,5.900837653047913e-48,7.660396196755168e-143,2.8358440054226647e-59,1.4757623177317878e-50,4.885714715602543e-57,1.4757623205676306e-50,5.590502671544426e-52,-1.6498629197967539e-65,1.1364423084603964e-65,3.46938042121244e-72,254.54545454545456,423.15
0.012519105921551555,4.427091350817647e-33,2.6122635762600694e-26,2.7554985440873167e-20,2.4848182352573556e-33,9.672862191369695e-36,2.8531088795754155e-36,2.631108864319276e-36,2.6311088643192755e-36,0.006259552960775777,2.7554956697172486e-20,2.6210624186017163e-27,0.006259552960775774,0.00625955296077577,1.84683029010966e-49,1.846830290109659e-49,1.846830290109661e-49,3.1219091853104714e-144,1.1584332962659468e-60,6.0143050264061706e-52,1.9521393578805286e-58,6.014305037990505e-52,2.278347123636801e-53,-6.723909682847493e-67,4.064927004100043e-67,1.0858385243828915e-73,0.4000000000000002,1.4145071951812285e-31,8.34648605940166e-25,8.80413844679993e-19,7.939283366808997e-32,3.0905920125551246e-34,9.116014825511811e-35,8.406698947374003e-35,8.406698947374e-35,0.2000000000000001,8.804129262853133e-19,8.374599384416347e-26,0.19999999999999998,0.19999999999999987,5.900837653047907e-48,5.900837653047904e-48,5.900837653047911e-48,9.974863076878765e-143,3.7013291636800114e-59,1.9216404315431468e-50,6.23731237714008e-57,1.9216404352444764e-50,7.279584142553322e-52,-2.1483673754280906e-65,1.298791472672917e-65,3.46938042121244e-72,290.90909090909093,423.15
0.012519105921551555,4.426288692009719e-33,2.6122635728340555e-26,3.0999354702586524e-20,2.4848182319984872e-33,1.088196863024998e-35,3.471364797601803e-36,3.201258373151947e-36,3.201258373151945e-36,0.006259552960775777,3.0999325631253134e-20,2.948695158810133e-27,0.006259552960775774,0.00625955296077577,1.84683029010966e-49,1.8468302901096585e-49,1.8468302901096608e-49,3.846285585915226e-144,1.4293108055098095e-60,7.40980386013267e-52,2.375159215083269e-58,7.40980387442578e-52,2.806991869779061e-53,-8.28411720345101e-67,4.5730435998630174e-67,1.0858385243828915e-73,0.4000000000000002,1.4142507363532713e-31,8.346486048455147e-25,9.904654500676877e-19,7.939283356396532e-32,3.4769155875634064e-34,1.109141441682628e-34,1.0228392964200436e-34,1.022839296420043e-34,0.2000000000000001,9.90464521204762e-19,9.421424108997996e-26,0.19999999999999998,0.19999999999999987,5.900837653047907e-48,5.900837653047903e-48,5.90083765304791e-48,1.2289329957002355e-142,4.566814321937356e-59,2.367518545354504e-50,7.588910038677602e-57,2.367518549921319e-50,8.968665613562211e-52,-2.6468718310594252e-65,1.4611406368854364e-65,3.46938042121244e-72,327.2727272727273,423.15
